No.,Time,Src Port,Dst Port,Source,Destination,Protocol,Length
99,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514
100,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1157
101,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514
102,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514
103,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,HTTP,528
104,2017-01-19 18:09:50,49287,80,10.1.19.102,92.53.119.137,TCP,60
105,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395
106,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395
107,2017-01-19 18:09:50,49297,80,10.1.19.102,92.53.119.137,TCP,60
108,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395
109,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395
110,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395
111,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1514
112,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1276
113,2017-01-19 18:09:50,49297,80,10.1.19.102,92.53.119.137,TCP,60
114,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1514
115,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1276
116,2017-01-19 18:09:50,49297,80,10.1.19.102,92.53.119.137,TCP,60
117,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,284
118,2017-01-19 18:09:50,49297,80,10.1.19.102,92.53.119.137,TCP,60
119,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395
120,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395
121,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395
122,2017-01-19 18:09:50,49297,80,10.1.19.102,92.53.119.137,TCP,60
123,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1514
124,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1514
125,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,HTTP,212
126,2017-01-19 18:09:50,49297,80,10.1.19.102,92.53.119.137,TCP,60
